,Sentence,Word,POS,IOB Tag
0,sentence 1,30,CD,O
1,sentence 1,mou01,NN,O
2,sentence 1,41457,CD,O
3,sentence 1,42551,CD,O
4,sentence 1,article,NN,O
5,sentence 1,6,CD,O
6,sentence 1,compensation,NN,B-NP
7,sentence 1,article,NN,I-NP
8,sentence 1,6.1,CD,O
9,sentence 1,salaries,NN,O
10,sentence 1,prior,JJ,O
11,sentence 1,to,TO,O
12,sentence 1,april,NN,O
13,sentence 1,2014,CD,O
14,sentence 1,salary,NN,B-NP
15,sentence 1,range,NN,I-NP
16,sentence 1,for,IN,O
17,sentence 1,employee,NN,B-NP
18,sentence 1,consist,NN,I-NP
19,sentence 1,of,IN,O
20,sentence 1,five,CD,O
21,sentence 1,step,NN,O
22,sentence 1,each,DT,O
23,sentence 1,separated,VB,B-VP
24,sentence 1,by,IN,I-VP
25,sentence 1,approximately,RB,O
26,sentence 1,five,CD,O
27,sentence 1,and,CC,O
28,sentence 1,one-half,CD,O
29,sentence 1,percent,NN,O
30,sentence 1,5.5,CD,B-NUM
31,sentence 1,%,%,I-NUM
32,sentence 1,illustrated,VB,B-VP
33,sentence 1,in,IN,I-VP
34,sentence 1,range,NN,B-NP
35,sentence 1,table,NN,I-NP
36,sentence 1,of,IN,O
37,sentence 1,this,DT,B-NP
38,sentence 1,mou,NN,I-NP
39,sentence 2,effective,JJ,B-NP
40,sentence 2,april,NN,I-NP
41,sentence 2,2014,CD,O
42,sentence 2,salary,NN,B-NP
43,sentence 2,range,NN,I-NP
44,sentence 2,shall,MD,B-VP
45,sentence 2,consist,VB,I-VP
46,sentence 2,of,IN,I-VP
47,sentence 2,fifteen,CD,O
48,sentence 2,step,NN,O
49,sentence 2,each,DT,O
50,sentence 2,separated,VB,B-VP
51,sentence 2,by,IN,I-VP
52,sentence 2,approximately,RB,O
53,sentence 2,two,CD,O
54,sentence 2,and,CC,O
55,sentence 2,three-quarter,CD,O
56,sentence 2,percent,NN,O
57,sentence 2,2.75,CD,B-NUM
58,sentence 2,%,%,I-NUM
59,sentence 2,illustrated,VB,B-VP
60,sentence 2,in,IN,I-VP
61,sentence 2,range,NN,B-NP
62,sentence 2,table,NN,I-NP
63,sentence 2,of,IN,O
64,sentence 2,this,DT,B-NP
65,sentence 2,mou,NN,I-NP
66,sentence 3,the,DT,B-NP
67,sentence 3,following,JJ,I-NP
68,sentence 3,salary,NN,I-NP
69,sentence 3,step,NN,I-NP
70,sentence 3,movement,NN,I-NP
71,sentence 3,will,MD,B-VP
72,sentence 3,apply,VB,I-VP
73,sentence 3,during,IN,I-VP
74,sentence 3,the,DT,B-NP
75,sentence 3,term,NN,I-NP
76,sentence 3,of,IN,O
77,sentence 3,this,DT,B-NP
78,sentence 3,mou,NN,I-NP
79,sentence 4,employees,NN,O
80,sentence 4,who,WP,O
81,sentence 4,are,VB,B-VP
82,sentence 4,not,RB,O
83,sentence 4,on,IN,O
84,sentence 4,the,DT,B-NP
85,sentence 4,top,JJ,I-NP
86,sentence 4,step,NN,I-NP
87,sentence 4,of,IN,O
88,sentence 4,salary,NN,B-NP
89,sentence 4,range,NN,I-NP
90,sentence 4,of,IN,O
91,sentence 4,april,NN,O
92,sentence 4,2014,CD,O
93,sentence 4,one,CD,O
94,sentence 4,step,NN,B-NP
95,sentence 4,advancement,NN,I-NP
96,sentence 4,on,IN,O
97,sentence 4,april,NN,O
98,sentence 4,20,CD,O
99,sentence 4,2014,CD,O
100,sentence 4,beginning,NN,O
101,sentence 4,of,IN,O
102,sentence 4,pay,NN,B-NP
103,sentence 4,period,NN,I-NP
104,sentence 4,22,CD,O
